ANEXO 1. ORDENAMENTO DAS TAXAS DE ÓBITO POR AF (Homicídios e óbitos por AF; taxas médias 2010/2012 em municípios com mais de 20.000 habitantes). População Total. Brasil. 2010/2012.,,,,,,,,,,,
Município,UF,Popula-,n. homicídios AF,,,n. óbitos AF,,,Tx. Média*,,Posi-ção
Palmas de Monte Alto,BA,"20,894",0,0,2,0,0,2,3.2,3.2,1449º
Teofilândia,BA,"21,581",1,0,1,1,0,1,3.1,3.1,1463º
Boquira,BA,"22,025",0,0,1,1,0,1,1.5,3.0,1468º
Caculé,BA,"22,577",1,0,0,2,0,0,1.5,3.0,1474º
Planalto,BA,"24,627",1,1,0,1,1,0,2.7,2.7,1490º
Quijingue,BA,"27,357",0,1,0,0,2,0,1.2,2.4,1511º
Carinhanha,BA,"28,519",0,0,2,0,0,2,2.3,2.3,1518º
Macaúbas,BA,"47,915",0,0,0,1,0,1,0.0,1.4,1588º
Iraquara,BA,"23,246",0,0,0,0,0,0,0.0,0.0,1627º
Itiúba,BA,"36,200",0,0,0,0,0,0,0.0,0.0,1627º
Tanhaçu,BA,"20,001",0,0,0,0,0,0,0.0,0.0,1627º
Abaíra,BA,"8,659",0,0,0,0,0,0,,,
Abaré,BA,"17,685",5,4,8,5,4,9,,,
Acajutiba,BA,"14,730",4,8,2,4,8,2,,,
Adustina,BA,"15,914",1,1,1,1,1,1,,,
Água Fria,BA,"15,884",0,1,0,1,2,1,,,
Aiquara,BA,"4,536",0,0,0,0,0,0,,,
Almadina,BA,"6,130",1,1,1,1,1,1,,,
América Dourada,BA,"15,962",1,0,1,1,0,1,,,
Anagé,BA,"19,889",1,2,0,1,2,0,,,
Andaraí,BA,"13,942",0,0,0,0,4,0,,,
Andorinha,BA,"14,209",1,0,0,1,0,0,,,
Angical,BA,"13,992",0,0,0,1,1,0,,,
Anguera,BA,"10,427",0,0,0,0,0,0,,,
Antas,BA,"17,526",0,0,1,1,0,1,,,
Antônio Cardoso,BA,"11,545",0,0,0,0,0,0,,,
Antônio Gonçalves,BA,"11,229",0,0,1,0,0,1,,,
Aporá,BA,"17,877",4,5,2,4,5,2,,,
Apuarema,BA,"7,397",0,0,0,0,0,0,,,
Araças,BA,"11,642",3,2,2,3,2,2,,,
Aracatu,BA,"13,542",1,0,0,1,0,0,,,
Aramari,BA,"10,483",0,0,1,0,0,1,,,
Arataca,BA,"10,307",1,2,1,1,2,1,,,
Aratuípe,BA,"8,632",1,1,1,1,1,1,,,
Aurelino Leal,BA,"13,059",1,1,0,1,1,0,,,
Baianópolis,BA,"13,420",0,0,0,0,0,2,,,
Banzaê,BA,"11,840",0,0,0,0,0,0,,,
Barra do Mendes,BA,"13,914",2,0,0,2,0,0,,,
Barra do Rocha,BA,"6,038",1,0,0,1,1,0,,,
Barro Alto,BA,"13,914",0,1,1,0,1,1,,,
Barro Preto,BA,"6,122",2,4,6,2,4,6,,,
Barrocas,BA,"14,495",0,0,0,1,0,0,,,
Belo Campo,BA,"17,625",0,0,1,0,0,1,,,
Biritinga,BA,"14,866",1,0,0,1,0,1,,,
Boa Nova,BA,"14,620",2,0,3,2,0,3,,,
Boa Vista do Tupim,BA,"17,898",0,1,0,0,1,0,,,
Bom Jesus da Serra,BA,"10,120",0,0,0,0,0,0,,,
Boninal,BA,"13,893",0,0,0,0,0,0,,,
Bonito,BA,"15,126",1,0,0,1,0,0,,,
Botuporã,BA,"10,950",0,0,0,0,0,0,,,
Brejões,BA,"14,123",0,0,1,0,0,1,,,
Brejolândia,BA,"11,247",0,0,0,1,1,0,,,
Brotas de Macaúbas,BA,"10,479",1,2,0,2,2,0,,,
Buerarema,BA,"18,528",5,1,10,5,1,10,,,
Buritirama,BA,"19,853",1,1,1,1,1,2,,,
Caatiba,BA,"10,576",0,1,1,0,1,1,,,
Cabaceiras do Paraguaçu,BA,"17,582",2,0,0,2,0,0,,,
Caém,BA,"10,013",0,0,0,0,0,0,,,
Caetanos,BA,"14,926",0,0,0,1,0,0,,,
Cafarnaum,BA,"17,398",1,1,1,1,1,1,,,
Cairu,BA,"15,973",2,0,7,2,0,7,,,
Caldeirão Grande,BA,"12,658",1,2,0,1,2,0,,,
Canápolis,BA,"9,395",1,0,0,2,0,0,,,
Candeal,BA,"8,720",1,1,0,1,1,0,,,
Candiba,BA,"13,329",0,0,1,2,1,1,,,
Canudos,BA,"15,941",0,2,0,0,2,0,,,
Capela do Alto Alegre,BA,"11,485",1,2,2,1,3,2,,,
Caraíbas,BA,"9,879",1,0,0,1,0,0,,,
Cardeal da Silva,BA,"9,030",2,1,2,2,1,2,,,
Catolândia,BA,"3,215",0,0,0,0,0,0,,,
Caturama,BA,"8,817",0,0,0,0,0,0,,,
Central,BA,"17,057",3,0,1,3,0,1,,,
Chorrochó,BA,"10,794",0,3,1,0,3,1,,,
Cipó,BA,"15,884",0,0,1,0,0,1,,,
Coaraci,BA,"19,937",12,8,13,12,8,13,,,
Cocos,BA,"18,235",0,0,0,0,0,0,,,
Conceição do Almeida,BA,"17,705",2,2,2,2,2,2,,,
Condeúba,BA,"17,421",0,0,0,0,0,0,,,
Contendas do Sincorá,BA,"4,613",0,0,0,0,0,0,,,
Cordeiros,BA,"8,245",0,0,0,0,0,0,,,
Coribe,BA,"14,210",1,1,1,1,1,2,,,
Coronel João Sá,BA,"16,650",4,2,2,4,2,2,,,
Cotegipe,BA,"13,614",0,0,0,1,3,1,,,
Cravolândia,BA,"5,048",0,0,0,0,0,0,,,
Cristópolis,BA,"13,374",0,0,0,1,1,3,,,
Dário Meira,BA,"12,217",0,2,1,0,2,1,,,
Dom Basílio,BA,"11,454",0,0,0,0,0,0,,,
Dom Macedo Costa,BA,"3,894",0,0,0,0,0,0,,,
Elísio Medrado,BA,"7,961",0,1,2,0,1,2,,,
Érico Cardoso,BA,"10,746",0,0,0,0,0,0,,,
Fátima,BA,"17,555",0,0,0,0,0,0,,,
Feira da Mata,BA,"6,177",1,0,0,1,0,0,,,
Filadélfia,BA,"16,672",0,0,0,1,0,0,,,
Firmino Alves,BA,"5,417",0,1,1,0,1,1,,,
Floresta Azul,BA,"10,657",0,1,2,0,1,2,,,
Gavião,BA,"4,510",0,0,1,0,0,1,,,
Gentio do Ouro,BA,"10,690",1,0,0,1,0,1,,,
Glória,BA,"15,114",1,3,0,2,3,0,,,
Gongogi,BA,"8,031",0,1,0,1,1,0,,,
Governador Mangabeira,BA,"19,926",0,7,4,0,7,4,,,
Guajeru,BA,"9,182",0,0,0,0,0,0,,,
Heliópolis,BA,"13,099",0,0,0,0,0,0,,,
Ibiassucê,BA,"9,607",0,1,0,0,1,0,,,
Ibicoara,BA,"17,805",0,1,1,0,1,1,,,
Ibicuí,BA,"15,650",0,4,2,1,4,3,,,
Ibipeba,BA,"17,277",1,0,4,1,0,5,,,
Ibipitanga,BA,"14,285",0,0,1,0,1,1,,,
Ibiquera,BA,"4,874",0,0,0,0,0,0,,,
Ibirapuã,BA,"8,086",3,3,2,4,3,3,,,
Ibirataia,BA,"17,959",4,4,4,4,4,4,,,
Ibitiara,BA,"15,669",0,0,1,0,0,1,,,
Ibititá,BA,"17,763",4,2,5,5,2,5,,,
Ichu,BA,"5,908",0,0,0,0,1,4,,,
Igaporã,BA,"15,238",0,0,0,0,0,1,,,
Igrapiúna,BA,"13,028",0,2,1,0,2,1,,,
Ipecaetá,BA,"15,025",0,0,0,0,0,0,,,
Ipupiara,BA,"9,398",0,0,2,0,0,3,,,
Irajuba,BA,"7,046",1,0,2,1,0,2,,,
Iramaia,BA,"11,150",0,1,1,0,1,1,,,
Itaeté,BA,"15,063",0,2,0,0,4,0,,,
Itagi,BA,"12,805",1,3,1,1,3,1,,,
Itagibá,BA,"15,088",2,1,1,2,1,1,,,
Itagimirim,BA,"7,013",0,2,4,1,2,5,,,
Itaguaçu da Bahia,BA,"13,487",4,2,1,4,2,1,,,
Itaju do Colônia,BA,"7,118",2,1,1,2,1,1,,,
Itamari,BA,"7,836",0,0,0,0,0,0,,,
Itanagra,BA,"7,590",3,3,2,3,3,2,,,
Itapé,BA,"10,436",1,2,1,1,2,1,,,
Itapebi,BA,"10,398",4,3,3,4,3,3,,,
Itapitanga,BA,"10,181",0,0,0,0,0,0,,,
Itaquara,BA,"7,751",0,0,1,0,0,2,,,
Itarantim,BA,"18,651",0,1,1,0,2,1,,,
Itatim,BA,"13,841",9,4,4,9,4,4,,,
Itiruçu,BA,"12,589",0,0,0,0,0,0,,,
Itororó,BA,"19,942",14,7,7,15,7,7,,,
Ituaçu,BA,"18,302",0,0,1,0,0,2,,,
Iuiú,BA,"10,963",1,1,0,1,1,0,,,
Jaborandi,BA,"8,728",0,0,0,0,0,0,,,
Jacaraci,BA,"14,500",0,0,0,0,0,0,,,
Jaguaripe,BA,"16,927",5,6,7,5,6,7,,,
Jandaíra,BA,"10,377",3,5,0,3,5,0,,,
Jiquiriçá,BA,"14,096",0,0,0,0,0,0,,,
Jitaúna,BA,"13,280",1,4,0,1,4,0,,,
Jucuruçu,BA,"9,972",0,1,4,0,1,4,,,
Jussara,BA,"15,004",1,2,2,1,2,2,,,
Jussari,BA,"6,322",1,2,1,1,2,1,,,
Jussiape,BA,"7,533",0,0,4,0,0,4,,,
Lafaiete Coutinho,BA,"3,830",0,2,0,0,2,0,,,
Lagoa Real,BA,"14,187",0,1,0,0,1,0,,,
Lajedão,BA,"3,782",0,2,0,0,2,0,,,
Lajedinho,BA,"3,881",0,0,0,0,0,0,,,
Lajedo do Tabocal,BA,"8,346",2,1,0,2,1,0,,,
Lamarão,BA,"9,271",1,0,0,2,0,1,,,
Lençóis,BA,"10,589",0,0,0,0,0,0,,,
Licínio de Almeida,BA,"12,268",0,0,0,0,0,0,,,
Macajuba,BA,"11,201",1,0,0,1,0,0,,,
Macarani,BA,"17,253",0,1,2,0,1,3,,,
Macururé,BA,"7,992",0,3,0,0,3,0,,,
Madre de Deus,BA,"18,183",2,2,8,3,2,9,,,
Maetinga,BA,"6,048",0,2,0,0,2,0,,,
Maiquinique,BA,"9,229",1,0,2,1,0,2,,,
Mairi,BA,"19,163",3,3,2,3,3,2,,,
Malhada,BA,"16,058",0,0,1,2,0,1,,,
Malhada de Pedras,BA,"8,389",0,0,0,0,1,0,,,
Manoel Vitorino,BA,"13,948",2,1,0,2,1,0,,,
Mansidão,BA,"12,759",0,0,0,0,1,0,,,
Maraú,BA,"19,212",2,2,2,2,3,2,,,
Marcionílio Souza,BA,"10,447",1,0,2,1,1,2,,,
Mascote,BA,"14,257",0,5,3,0,5,3,,,
Matina,BA,"11,342",0,1,0,0,2,0,,,
Milagres,BA,"10,994",1,1,0,1,1,1,,,
Mirangaba,BA,"16,606",1,1,0,1,1,0,,,
Mirante,BA,"9,902",0,0,0,0,0,0,,,
Morpará,BA,"8,233",0,0,0,1,2,0,,,
Mortugaba,BA,"11,729",0,0,0,0,0,0,,,
Mucugê,BA,"10,145",1,0,0,1,0,0,,,
Mulungu do Morro,BA,"11,743",1,0,0,1,0,0,,,
Muniz Ferreira,BA,"7,374",1,0,0,1,0,0,,,
Muquém de São Francisco,BA,"10,433",0,0,0,0,1,3,,,
Nilo Peçanha,BA,"12,729",0,2,0,0,2,0,,,
Nordestina,BA,"12,458",1,0,1,1,0,1,,,
Nova Canaã,BA,"16,070",1,5,1,1,5,1,,,
Nova Fátima,BA,"7,630",2,2,2,2,3,3,,,
Nova Ibiá,BA,"6,570",1,0,0,1,0,0,,,
Nova Itarana,BA,"7,563",1,0,1,1,0,1,,,
Nova Redenção,BA,"8,053",1,0,0,1,0,0,,,
Novo Horizonte,BA,"11,001",0,0,0,0,0,0,,,
Novo Triunfo,BA,"15,067",3,1,1,3,1,1,,,
Ouriçangas,BA,"8,316",0,0,0,0,0,0,,,
Ourolândia,BA,"16,578",0,2,0,0,2,0,,,
Palmeiras,BA,"8,545",0,0,0,0,0,0,,,
Pau Brasil,BA,"10,479",6,3,4,6,4,5,,,
Pé de Serra,BA,"13,707",0,4,3,0,5,4,,,
Pedrão,BA,"6,993",0,0,0,0,0,0,,,
Pedro Alexandre,BA,"17,045",5,3,2,5,3,2,,,
Piatã,BA,"17,257",0,0,0,0,0,0,,,
Pindaí,BA,"15,695",0,0,0,0,1,0,,,
Pintadas,BA,"10,250",0,1,1,0,1,2,,,
Piraí do Norte,BA,"9,833",0,1,0,0,1,0,,,
Piripá,BA,"12,219",0,1,0,0,1,0,,,
Planaltino,BA,"8,944",0,0,1,0,0,1,,,
Ponto Novo,BA,"15,524",1,2,8,1,2,8,,,
Potiraguá,BA,"9,360",1,1,2,1,1,2,,,
Presidente Dutra,BA,"13,807",3,4,0,4,4,0,,,
Presidente Jânio Quadros,BA,"12,854",1,4,0,1,5,0,,,
Quixabeira,BA,"9,514",2,3,1,2,3,1,,,
Retirolândia,BA,"12,281",0,1,1,0,1,1,,,
Ribeira do Amparo,BA,"14,333",0,1,0,0,1,0,,,
Ribeirão do Largo,BA,"10,432",1,0,3,2,0,3,,,
Rio de Contas,BA,"12,891",0,0,0,0,0,0,,,
Rio do Antônio,BA,"15,015",0,0,0,0,0,0,,,
Rio do Pires,BA,"11,948",0,0,0,0,0,0,,,
Rodelas,BA,"8,045",0,1,4,0,1,4,,,
Salinas da Margarida,BA,"13,921",1,1,2,1,1,2,,,
Santa Bárbara,BA,"19,292",5,4,3,6,5,7,,,
Santa Brígida,BA,"14,698",3,3,0,3,3,0,,,
Santa Cruz da Vitória,BA,"6,481",0,2,1,0,2,1,,,
Santa Inês,BA,"10,312",1,3,2,1,3,2,,,
Santa Luzia,BA,"13,025",6,7,3,7,7,4,,,
Santa Teresinha,BA,"9,792",1,0,2,1,0,2,,,
Santanópolis,BA,"8,835",2,0,2,2,1,2,,,
São Domingos,BA,"9,266",0,0,0,0,0,0,,,
São Félix,BA,"14,159",2,1,2,2,1,2,,,
São Félix do Coribe,BA,"13,243",3,4,1,4,5,1,,,
São Gabriel,BA,"18,430",2,3,0,2,3,0,,,
São José da Vitória,BA,"5,609",2,2,3,2,2,3,,,
São José do Jacuípe,BA,"10,293",0,1,2,0,1,2,,,
São Miguel das Matas,BA,"10,474",0,2,1,0,2,1,,,
Sapeaçu,BA,"16,619",3,3,3,3,3,3,,,
Sátiro Dias,BA,"19,054",4,2,3,4,3,3,,,
Saubara,BA,"11,354",0,3,6,0,3,6,,,
Saúde,BA,"11,921",0,1,2,0,1,2,,,
Sebastião Laranjeiras,BA,"10,563",0,0,2,1,1,2,,,
Serra Dourada,BA,"17,963",2,0,1,2,0,2,,,
Serra Preta,BA,"14,993",0,3,2,2,6,2,,,
Serrolândia,BA,"12,464",0,2,1,0,2,1,,,
Sítio do Mato,BA,"12,161",0,1,0,0,1,0,,,
Sítio do Quinto,BA,"11,930",1,0,1,1,0,1,,,
Souto Soares,BA,"16,069",1,0,2,1,0,3,,,
Tabocas do Brejo Velho,BA,"11,433",0,0,0,1,0,0,,,
Tanque Novo,BA,"16,323",0,1,0,0,1,0,,,
Tanquinho,BA,"8,035",1,1,1,1,1,3,,,
Taperoá,BA,"19,174",1,1,5,1,1,5,,,
Tapiramutá,BA,"16,434",0,0,3,0,0,3,,,
Teodoro Sampaio,BA,"7,746",2,1,1,2,1,1,,,
Teolândia,BA,"14,113",1,0,2,1,0,2,,,
Terra Nova,BA,"12,793",2,0,2,2,0,3,,,
Tremedal,BA,"17,750",1,0,0,1,0,0,,,
Uibaí,BA,"13,642",3,0,2,3,0,3,,,
Umburanas,BA,"17,432",0,0,2,0,0,2,,,
Urandi,BA,"16,493",0,0,0,0,0,0,,,
Uruçuca,BA,"19,642",7,9,8,8,9,8,,,
Utinga,BA,"18,367",1,2,0,1,2,1,,,
Várzea da Roça,BA,"13,834",1,2,1,1,2,1,,,
Várzea do Poço,BA,"8,759",0,0,1,0,0,1,,,
Várzea Nova,BA,"12,910",0,0,0,0,0,0,,,
Varzedo,BA,"8,987",0,1,0,0,1,0,,,
Vereda,BA,"6,681",1,0,1,2,0,1,,,
Wagner,BA,"8,985",0,0,0,0,0,0,,,
Wanderley,BA,"12,356",0,0,0,0,1,2,,,
Tabuleiro do Norte,CE,"29,522",15,17,22,15,17,22,61.0,61.0,39º
Itaitinga,CE,"36,814",16,24,21,16,24,21,55.2,55.2,53º
Fortaleza,CE,"2,500,194","1,139","1,174","1,718","1,158","1,201","1,724",53.7,54.4,55º
Eusébio,CE,"47,993",22,13,41,22,13,41,52.8,52.8,65º
Quixeré,CE,"20,810",4,16,12,4,16,12,51.3,51.3,68º
Barbalha,CE,"56,576",25,22,33,25,22,33,47.1,47.1,85º
Aquiraz,CE,"74,465",30,26,48,30,26,48,46.6,46.6,87º
Maracanaú,CE,"213,404",90,79,109,91,84,109,43.4,44.4,103º
Horizonte,CE,"58,418",16,20,35,17,23,35,40.5,42.8,114º
Senador Pompeu,CE,"26,382",11,6,15,11,6,15,40.4,40.4,132º
Caucaia,CE,"336,091",140,92,149,142,92,149,37.8,38.0,157º
Limoeiro do Norte,CE,"56,255",14,20,25,14,21,25,35.0,35.6,191º
Boa Viagem,CE,"52,829",11,9,24,11,10,26,27.8,29.7,271º
Jaguaribe,CE,"34,317",9,9,12,9,9,12,29.1,29.1,281º
Caririaçu,CE,"26,471",6,6,11,6,6,11,29.0,29.0,287º
Pacajus,CE,"64,521",14,9,31,14,11,31,27.9,28.9,288º
Juazeiro do Norte,CE,"255,648",47,57,117,47,57,117,28.8,28.8,289º
Pentecoste,CE,"35,823",4,13,13,4,13,13,27.9,27.9,298º
Paraipaba,CE,"30,733",5,10,9,5,10,9,26.0,26.0,327º
Morada Nova,CE,"61,713",12,12,23,12,12,23,25.4,25.4,341º
Quixadá,CE,"82,258",18,16,25,19,17,25,23.9,24.7,359º
Cascavel,CE,"67,503",10,11,28,10,12,28,24.2,24.7,361º
Acopiara,CE,"51,768",13,9,15,13,9,16,23.8,24.5,369º
Caridade,CE,"20,687",4,8,2,5,8,2,22.6,24.2,375º
Russas,CE,"71,723",10,13,28,10,13,28,23.7,23.7,384º
Brejo Santo,CE,"46,207",6,8,15,6,8,15,20.9,20.9,442º
Pedra Branca,CE,"42,064",13,5,8,13,5,8,20.6,20.6,448º
Pacatuba,CE,"75,411",9,14,20,11,15,20,19.0,20.3,458º
Araripe,CE,"20,848",3,5,4,3,5,4,19.2,19.2,486º
Campos Sales,CE,"26,648",5,4,6,5,4,6,18.8,18.8,502º
Crato,CE,"123,963",21,21,27,21,21,27,18.6,18.6,510º
Mombaça,CE,"42,891",10,4,8,10,4,9,17.1,17.9,526º
Sobral,CE,"193,134",24,24,51,25,24,54,17.1,17.8,529º
Baturité,CE,"33,863",4,2,8,8,2,8,13.8,17.7,533º
São Gonçalo do Amarante,CE,"45,141",7,3,13,7,3,13,17.0,17.0,558º
Iguatu,CE,"98,138",20,16,14,20,16,14,17.0,17.0,559º
Itapagé,CE,"49,130",3,4,17,3,4,17,16.3,16.3,581º
Icó,CE,"65,900",11,7,13,12,7,13,15.7,16.2,585º
Aracati,CE,"70,363",7,8,19,7,8,19,16.1,16.1,588º
Quixeramobim,CE,"73,812",15,8,10,15,9,10,14.9,15.4,612º
Jaguaruana,CE,"32,614",2,3,9,2,4,9,14.3,15.3,614º
Parambu,CE,"31,160",6,5,2,7,5,2,13.9,15.0,633º
Maranguape,CE,"117,306",15,12,23,16,12,23,14.2,14.5,649º
Itapipoca,CE,"119,320",5,22,22,5,24,22,13.7,14.2,662º
Santa Quitéria,CE,"42,822",3,2,10,3,3,12,11.7,14.0,671º
Redenção,CE,"26,660",4,3,4,4,3,4,13.8,13.8,682º
Missão Velha,CE,"34,529",3,2,9,3,2,9,13.5,13.5,692º
Tauá,CE,"56,307",9,7,4,9,8,4,11.8,12.4,755º
Mauriti,CE,"44,836",6,3,6,6,3,6,11.2,11.2,833º
Guaiúba,CE,"24,727",2,3,3,2,3,3,10.8,10.8,852º
Aracoiaba,CE,"25,592",2,1,5,2,1,5,10.4,10.4,869º
Assaré,CE,"22,633",0,3,4,0,3,4,10.3,10.3,875º
Trairi,CE,"52,464",4,4,8,4,4,8,10.2,10.2,884º
Amontada,CE,"40,274",3,4,3,3,4,5,8.3,9.9,896º
Quiterianópolis,CE,"20,158",3,1,1,4,1,1,8.3,9.9,898º
Orós,CE,"21,294",0,3,3,0,3,3,9.4,9.4,932º
Canindé,CE,"75,209",6,3,10,7,4,10,8.4,9.3,936º
Beberibe,CE,"50,364",4,3,7,4,3,7,9.3,9.3,942º
Independência,CE,"25,620",1,4,2,1,4,2,9.1,9.1,947º
Coreaú,CE,"22,252",2,1,2,3,1,2,7.5,9.0,956º
Nova Russas,CE,"31,210",2,4,2,2,4,2,8.5,8.5,980º
Milagres,CE,"28,204",2,4,1,2,4,1,8.3,8.3,1003º
Paracuru,CE,"32,255",1,5,2,1,5,2,8.3,8.3,1004º
São Benedito,CE,"44,825",2,2,7,2,2,7,8.2,8.2,1012º
Aurora,CE,"24,470",1,1,4,1,1,4,8.2,8.2,1013º
Cedro,CE,"24,622",3,2,1,3,2,1,8.1,8.1,1018º
Irauçuba,CE,"22,742",0,2,3,0,2,3,7.3,7.3,1061º
Ubajara,CE,"32,496",1,4,1,1,5,1,6.2,7.2,1076º
Ipueiras,CE,"37,758",1,4,3,1,4,3,7.1,7.1,1087º
Itarema,CE,"38,547",0,1,3,1,2,5,3.5,6.9,1102º
Uruburetama,CE,"20,289",1,0,3,1,0,3,6.6,6.6,1130º
Ipu,CE,"40,579",2,2,1,2,4,2,4.1,6.6,1131º
Massapê,CE,"36,040",2,0,2,2,2,3,3.7,6.5,1146º
Crateús,CE,"73,102",1,4,6,2,4,8,5.0,6.4,1155º
Barro,CE,"21,742",1,2,1,1,2,1,6.1,6.1,1175º
Guaraciaba do Norte,CE,"38,189",2,4,1,2,4,1,6.1,6.1,1176º
Novo Oriente,CE,"27,655",2,2,1,2,2,1,6.0,6.0,1187º
Jucás,CE,"23,985",0,1,3,0,1,3,5.6,5.6,1218º
Ocara,CE,"24,373",0,3,1,0,3,1,5.5,5.5,1231º
Lavras da Mangabeira,CE,"31,073",0,2,3,0,2,3,5.4,5.4,1238º
Marco,CE,"25,349",0,1,1,0,2,2,2.6,5.3,1245º
Tamboril,CE,"25,397",3,1,0,3,1,0,5.2,5.2,1247º
Granja,CE,"52,528",0,1,4,2,1,5,3.2,5.1,1270º
Jardim,CE,"26,730",2,0,1,3,0,1,3.7,5.0,1278º
Ibiapina,CE,"24,058",0,0,3,0,0,3,4.2,4.2,1363º
Acaraú,CE,"58,848",2,0,1,4,2,1,1.7,4.0,1383º
Santana do Acaraú,CE,"30,512",2,0,1,2,0,1,3.3,3.3,1436º
Tianguá,CE,"70,527",1,0,5,1,0,5,2.8,2.8,1482º
Várzea Alegre,CE,"38,952",1,1,0,2,1,0,1.7,2.6,1501º
Viçosa do Ceará,CE,"56,394",1,0,2,1,0,3,1.8,2.4,1516º
Bela Cruz,CE,"31,259",0,1,1,0,1,1,2.1,2.1,1534º
Cruz,CE,"22,887",0,1,0,0,1,0,1.5,1.5,1583º
Camocim,CE,"60,870",0,0,0,0,0,1,0.0,0.5,1625º
Forquilha,CE,"22,435",0,0,0,0,0,0,0.0,0.0,1627º
Morrinhos,CE,"21,119",0,0,0,0,0,0,0.0,0.0,1627º
Abaiara,CE,"10,815",1,0,0,1,0,0,,,
Acarape,CE,"15,673",3,7,4,4,7,4,,,
Aiuaba,CE,"16,468",3,2,2,4,2,2,,,
Alcântaras,CE,"10,956",0,0,0,0,0,0,,,
Altaneira,CE,"7,033",0,0,0,0,0,0,,,
Alto Santo,CE,"16,505",2,1,6,2,1,6,,,
Antonina do Norte,CE,"7,056",1,0,1,1,0,1,,,
Apuiarés,CE,"14,135",0,0,3,1,1,3,,,
Ararendá,CE,"10,564",1,3,1,1,3,1,,,
Aratuba,CE,"11,404",3,0,2,3,0,2,,,
Arneiroz,CE,"7,667",0,0,0,0,0,1,,,
Baixio,CE,"6,072",0,0,0,0,0,0,,,
Banabuiú,CE,"17,488",6,2,3,6,2,3,,,
Barreira,CE,"19,958",2,0,1,2,0,1,,,
Barroquinha,CE,"14,560",0,0,0,0,0,0,,,
Capistrano,CE,"17,202",0,1,2,0,1,2,,,
Cariré,CE,"18,391",0,0,2,0,0,2,,,
Cariús,CE,"18,586",1,0,2,1,0,2,,,
Carnaubal,CE,"16,975",0,0,2,2,0,2,,,
Catarina,CE,"19,228",1,0,4,2,0,4,,,
Catunda,CE,"10,053",1,0,0,1,0,0,,,
Chaval,CE,"12,684",0,0,0,0,0,0,,,
Choró,CE,"12,982",1,0,3,2,0,3,,,
Chorozinho,CE,"18,947",4,2,6,4,2,6,,,
Croatá,CE,"17,272",0,0,2,0,0,2,,,
Deputado Irapuan Pinheiro,CE,"9,203",0,2,0,0,2,0,,,
Ererê,CE,"6,922",0,0,1,0,0,1,,,
Farias Brito,CE,"18,859",0,2,2,0,2,2,,,
Fortim,CE,"15,233",0,0,2,0,0,2,,,
Frecheirinha,CE,"13,167",0,0,0,0,0,0,,,
General Sampaio,CE,"6,423",0,1,2,0,1,2,,,
Graça,CE,"15,085",0,0,0,0,0,0,,,
Granjeiro,CE,"4,551",1,0,0,1,0,0,,,
Groaíras,CE,"10,445",0,0,2,0,0,2,,,
Guaramiranga,CE,"3,956",0,0,0,0,0,0,,,
Hidrolândia,CE,"19,548",0,1,1,0,2,1,,,
Ibaretama,CE,"12,977",0,2,2,0,2,2,,,
Ibicuitinga,CE,"11,622",1,1,4,1,1,4,,,
Icapuí,CE,"18,746",1,1,2,1,1,2,,,
Ipaporanga,CE,"11,358",0,1,1,0,1,1,,,
Ipaumirim,CE,"12,080",1,0,0,1,0,0,,,
Iracema,CE,"13,808",2,2,3,2,2,3,,,
Itaiçaba,CE,"7,428",1,0,0,1,0,0,,,
Itapiúna,CE,"19,009",0,2,0,0,3,0,,,
Itatira,CE,"19,401",0,4,1,0,4,1,,,
Jaguaretama,CE,"17,839",7,5,5,7,5,5,,,
Jaguaribara,CE,"10,652",4,4,7,4,4,7,,,
Jati,CE,"7,647",2,2,0,2,2,0,,,
Jijoca de Jericoacoara,CE,"17,744",5,1,1,6,1,1,,,
Madalena,CE,"18,575",0,1,1,0,2,1,,,
Martinópole,CE,"10,458",1,0,0,1,0,0,,,
Meruoca,CE,"14,049",0,0,0,0,0,1,,,
Milhã,CE,"13,062",5,1,1,5,1,1,,,
Miraíma,CE,"13,009",1,0,1,1,0,1,,,
Monsenhor Tabosa,CE,"16,760",2,0,1,2,0,1,,,
Moraújo,CE,"8,225",0,1,0,0,1,0,,,
Mucambo,CE,"14,146",0,0,0,0,0,0,,,
Mulungu,CE,"11,876",0,0,2,0,0,2,,,
Nova Olinda,CE,"14,586",2,8,6,2,8,6,,,
Pacoti,CE,"11,684",1,1,0,2,2,0,,,
Pacujá,CE,"6,037",0,0,0,0,0,0,,,
Palhano,CE,"8,972",0,0,0,0,0,0,,,
Palmácia,CE,"12,330",2,0,0,2,0,0,,,
Paramoti,CE,"11,360",2,0,0,2,0,0,,,
Penaforte,CE,"8,483",2,0,0,2,0,0,,,
Pereiro,CE,"15,838",0,0,0,0,0,0,,,
Pindoretama,CE,"19,247",2,5,2,2,5,2,,,
Piquet Carneiro,CE,"15,820",0,1,4,0,1,4,,,
Pires Ferreira,CE,"10,365",0,0,0,0,0,0,,,
Poranga,CE,"12,041",0,0,1,0,0,1,,,
Porteiras,CE,"14,971",0,0,2,0,0,2,,,
Potengi,CE,"10,448",1,1,0,1,1,0,,,
Potiretama,CE,"6,181",0,0,0,0,0,0,,,
Quixelô,CE,"14,911",0,1,1,0,1,1,,,
Reriutaba,CE,"19,179",1,0,0,1,0,0,,,
Saboeiro,CE,"15,681",4,4,4,4,4,4,,,
